movieid,producerid,addition
1832956,356395,(co-producer)
1832956,380266,"(executive producer)"
1832956,466111,(producer)
1832956,472971,"(associate producer) (as kevin king)"
1832956,507698,"(executive producer)"
1832956,507723,"(executive producer)"
1832956,520539,(producer)
1833143,28816,"(associate producer)"
1833143,428187,(producer)
1833143,469737,(producer)
1833143,469738,(producer)
1833175,70690,(co-producer)
1833175,146537,"(executive producer)"
1833175,320824,(producer)
1833175,341153,"(executive producer) (as Michael Nathanson)"
1833175,470494,(producer)
1833995,147528,"(associate producer) (as Joseph Fineman)"
1833995,174303,"(executive producer)"
1833995,307330,(producer)
1833995,312972,"(line producer)"
1833995,342807,(producer)
1833995,478159,(producer)
1833995,497453,"(executive producer)"
1834266,55279,(producer)
1834266,511678,(producer)
1834423,392442,"(line producer)"
1834423,442500,"(associate producer)"
1834632,49412,"(associate producer)"
1834632,53166,"(executive producer)"
1834632,123003,"(associate producer)"
1834632,189423,(producer)
1834632,199152,(producer)
1835117,33081,"(line producer)"
1835117,265443,(producer)
1835117,518427,(producer)
1835175,105295,(producer)
1835175,391981,"(line producer)"
1835296,267222,(producer)
1835296,495930,(producer)
1835442,70692,"(executive producer)"
1835442,80282,"(executive producer)"
1835442,108833,(producer)
1835442,157294,(producer)
1835442,342199,(co-producer)
1835442,442798,"(producer) (as Joseph M. Singer)"
1835618,185897,(co-producer)
1835618,387100,(producer)
1835618,424218,"(executive producer)"
1835618,439768,"(executive producer)"
1835618,470565,"(executive producer)"
1835618,475442,"(associate producer)"
1836147,59891,(producer)
1836147,130486,"(associate producer)"
1836147,163541,"(executive producer)"
1836147,258605,"(associate producer) (as Jennifer Krug Worthington)"
1836147,355485,(producer)
1836147,419435,"(associate producer)"
1836147,457461,"(executive producer)"
1836375,32559,"(executive producer)"
1836375,112521,(producer)
1836375,200513,"(associate producer)"
1836375,247314,(producer)
1836375,256946,"(executive producer)"
1836375,345115,"(executive producer)"
1836375,401124,(producer)
1836516,20728,"(co-executive producer)"
1836516,100173,(producer)
1836516,192580,"(co-executive producer)"
1836516,265935,"(executive producer)"
1836516,393838,"(co-producer) (as Stephane Reichel)"
1836516,460409,(co-producer)
1836516,475225,"(executive producer)"
1836984,129839,"(executive producer) (as James R. Dyer)"
1836984,174427,(producer)
1836984,206658,(producer)
1836984,221797,"(producer) (as Diane Sillan Isaacs)"
1836984,473240,(producer)
1837319,136913,"(executive producer) (as Ehud Epstein)"
1837319,274543,(producer)
1837323,163599,"(assistant producer)"
1837323,335256,(producer)
1837340,8029,(producer)
1837467,198049,"(executive producer)"
1837467,411346,(producer)
1837467,497919,"(associate producer)"
1837469,25404,"(producer: Laurel Entertainment)"
1837469,160708,"(associate producer: Laurel Entertainment)"
1837469,411346,"(executive producer: Laurel Entertainment)"
1837764,184265,(producer)
1837764,253510,(producer)
1837764,407510,"(associate producer)"
1837764,488635,(producer)
1837764,507822,"(co-producer) (as Dara L. Weintraub)"
1837962,182077,(producer)
1837962,229603,"(executive producer)"
1837962,394319,"(associate producer) (as Thomas Reilly)"
1837962,402123,"(associate producer)"
1837962,405823,"(executive producer)"
1837991,146702,(producer)
1837991,146760,"(associate producer) (as P.K. Fields Zimmerman)"
1837991,167453,(co-producer)
1837991,409569,(co-producer)
1837991,463180,"(executive producer)"
1838160,59891,(producer)
1838160,153171,"(executive producer)"
1838160,325710,"(executive producer)"
1838160,442227,(producer)
1838160,444555,"(associate producer)"
1838160,487549,"(executive producer)"
1838360,71968,"(executive producer)"
1838360,287346,(producer)
1838360,428136,"(producer) (as Steven Schwartz)"
1838411,31888,(producer)
1838411,76086,"(executive producer)"
1838411,121531,"(associate producer)"
1838411,121532,"(associate producer)"
1838411,171181,(co-producer)
1838481,95806,(producer)
1838481,429150,"(line producer)"
1838481,526743,"(associate producer: Australia)"
1838568,101194,"(associate producer)"
1838568,177693,(producer)
1838568,336097,(co-producer)
1838568,341391,(producer)
1838568,349645,(co-producer)
1838568,450272,"(associate producer)"
1838568,453708,(co-producer)
1838568,467298,"(associate producer)"
1838619,247314,"(executive producer)"
1838619,270883,"(associate producer)"
1838619,271378,"(associate producer)"
1838619,271959,(producer)
1838619,408868,(co-producer)
1838773,127530,"(associate producer)"
1838773,197344,(producer)
1838773,258040,"(co-producer) (uncredited)"
1838773,431316,(producer)
1838773,517327,(producer)
1838850,428882,(producer)
1839137,76485,(producer)
1839137,281926,"(line producer)"
1839137,324573,"(co-producer) (uncredited)"
1839137,324573,"(executive producer)"
1839137,412612,(co-producer)
1839137,512604,"(associate producer)"
1839311,25398,"(co-executive producer) (as Chris J. Ball)"
1839311,153319,"(executive producer)"
1839311,278256,"(co-producer) (as Heather Zeegen)"
1839311,316216,"(co-executive producer)"
1839311,331408,(producer)
1839311,486372,"(co-executive producer)"
1839442,38249,"(executive producer)"
1839442,190518,"(executive producer)"
1839442,190519,(co-producer)
1839442,350976,(producer)
1839442,513786,"(executive producer)"
1839442,531903,(producer)
1839754,442899,(producer)
1839754,453696,"(associate producer)"
1839754,481171,(producer)
1840524,60410,"(executive producer)"
1840524,315143,(producer)
1840524,356792,(producer)
1840882,45434,(producer)
1840882,290755,"(associate producer) (as Neil Machlis)"
1840882,442835,(producer)
1841896,171948,"(line producer)"
1841896,289869,(producer)
1841896,384266,(producer)
1841896,470363,"(executive producer)"
1842301,35064,"(associate producer)"
1842301,102324,(producer)
1842301,132713,"(executive producer)"
1842301,381045,(producer)
1842301,410876,"(executive producer)"
1842580,154564,"(associate producer) (as Larry Franco)"
1842580,187101,(producer)
1842580,357439,"(associate producer)"
1842584,25007,(co-producer)
1842584,29931,"(associate producer)"
1842584,177540,(producer)
1842584,195038,(producer)
1842584,239950,"(executive producer)"
1842584,299081,(producer)
1842584,319617,(producer)
1842584,453290,(co-producer)
1843039,87772,(producer)
1843039,433141,(producer)
1843039,467083,"(producer: Hungary)"
1843756,21125,(producer)
1843756,56280,(co-producer)
1843756,87554,"(executive producer)"
1843756,245168,(producer)
1843756,344355,(co-producer)
1843757,21125,(producer)
1843757,56280,"(executive producer)"
1843757,117793,"(executive producer)"
1843757,245168,(producer)
1843757,317338,"(associate producer)"
1843757,457548,(co-producer)
1844312,83239,(producer)
1844312,213584,"(executive producer)"
1844312,529807,"(executive producer)"
1844997,70944,(producer)
1845075,159931,"(assistant producer)"
1845075,220513,(producer)
1845075,226386,(co-producer)
1845075,356641,(producer)
1845075,371638,(producer)
1845075,380081,(producer)
1845075,426739,(producer)
1846390,39510,(producer)
1846390,274049,"(associate producer) (as Joseph 'Pepi' Lenzi)"
1846390,356625,(co-producer)
1846990,132543,(producer)
1846990,190055,(producer)
1846990,379740,"(associate producer)"
1846990,508374,(producer)
1846990,509538,"(associate producer)"
1846990,527625,"(executive producer)"
1847035,186479,"(line producer)"
1847035,260276,(producer)
1847035,424564,"(executive producer)"
1847048,152644,"(line producer)"
1847048,157579,"(associate producer) (as Fridrik Thor Fridriksson)"
1847048,171623,"(associate producer)"
1847048,171658,"(associate producer)"
1847048,179027,"(associate producer)"
1847048,183893,"(line producer: USA)"
1847048,198584,"(associate producer)"
1847048,228324,"(executive producer)"
1847048,235531,"(co-executive producer)"
1847048,240999,"(associate producer)"
1847048,279541,"(associate producer)"
1847048,371296,"(collaborating producer)"
1847048,445406,"(co-executive producer)"
1847048,491867,"(associate producer)"
1847048,517093,(producer)
1847051,12055,"(associate producer)"
1847051,54634,(co-producer)
1847051,63725,"(executive producer)"
1847051,99427,"(executive producer)"
1847051,153033,(producer)
1847051,383809,"(associate producer)"
1847051,397297,(co-producer)
1847051,433472,(producer)
1847051,457809,"(associate producer)"
1847051,511552,(producer)
1847080,17200,"(associate producer)"
1847080,97094,(producer)
1847080,131044,"(executive producer)"
1847080,241134,"(line producer)"
1847080,516421,(producer)
1847235,27423,"(executive producer)"
1847235,151416,"(line producer)"
1847235,194761,"(executive producer)"
1847235,367634,(producer)
1847235,460416,"(executive producer: Bórd Scannán na hÉireann/The Irish Film Board)"
1847595,70355,(producer)
1847595,204882,(producer)
1847595,277378,"(supervising producer) (uncredited)"
1847595,285256,"(associate producer)"
1847595,286718,(co-producer)
1847595,320824,(producer)
1847595,341153,"(executive producer) (as Michael Nathanson)"
1847595,389737,"(executive producer)"
1847595,531880,(producer)
1847692,111491,"(executive producer)"
1847692,237748,(producer)
1847692,409698,"(executive producer)"
1847699,79910,"(executive producer)"
1847699,101388,"(executive producer)"
1847699,177442,(producer)
1847699,406700,(producer)
1847699,453696,"(associate producer)"
1847722,192629,(co-producer)
1847722,205588,(producer)
1847722,328681,(producer)
1847739,59891,(producer)
1847739,153171,"(executive producer)"
1847739,186337,"(executive producer)"
1847739,386888,"(executive producer)"
1847739,442227,(producer)
1848628,205003,"(executive producer)"
1848628,217514,"(co-associate producer)"
1848628,217657,(producer)
1848628,336374,"(associate producer)"
1848628,426093,(co-producer)
1848628,442798,"(producer) (as Joseph M. Singer)"
1849147,111447,"(executive producer)"
1849147,168943,"(line producer)"
1849147,303652,(producer)
1849147,383673,(producer)
1849147,518373,"(executive producer)"
1849156,439904,"(associate producer)"
1850182,43822,(co-producer)
1850182,105653,"(executive producer) (director's cut)"
1850182,156725,"(producer) (director's cut)"
1850182,218690,"(executive producer) (director's cut)"
1850182,382099,"(executive producer) (director's cut)"
1850182,405411,(producer)
1851750,132948,(producer)
1851750,333436,(producer)
1851750,382249,"(executive producer)"
1851871,39342,(co-producer)
1851871,202194,(co-producer)
1851871,235127,(producer)
1851871,512604,"(associate producer)"
1852854,111257,"(producer) (as Martha Schumacher)"
1852854,289339,"(associate producer)"
1852976,262982,"(associate producer)"
1852976,378449,(producer)
1853052,107142,(producer)
1853052,223926,"(associate producer)"
1853052,224839,(producer)
1853052,233198,(producer)
1853052,268504,"(executive producer)"
1853052,345556,"(associate producer)"
1853052,506311,"(associate producer)"
1853104,140505,"(associate producer)"
1853104,184285,"(executive producer)"
1853104,314827,"(executive producer)"
1853104,394797,(producer)
1853104,439093,"(producer) (as Lauren Shuler-Donner)"
1853104,506316,"(associate producer) (as Gordon Webb)"
1853531,121083,(producer)
1853531,502254,(co-producer)
1854045,108833,(producer)
1854045,111259,"(executive producer)"
1854045,157294,(producer)
1854045,160302,"(co-producer) (as Herbert W. Gains)"
1854045,194791,(co-producer)
1854045,335378,"(associate producer)"
1854045,342199,"(co-executive producer)"
1854045,442798,"(producer) (as Joseph M. Singer)"
1854142,52896,"(executive producer)"
1854142,425963,(producer)
1854142,426028,(producer)
1854166,59891,(producer)
1854166,326543,"(executive producer)"
1854166,442227,(producer)
1854233,106027,(producer)
1854233,223426,(producer)
1854233,280083,(producer)
1854233,501578,(co-producer)
1854918,85688,(co-producer)
1854918,111293,(co-producer)
1854918,257162,(producer)
1854918,358436,"(line producer)"
1856252,123733,(producer)
1856252,143845,(co-producer)
1856252,292954,(producer)
1856252,378355,"(executive producer)"
1856325,199630,(producer)
1856325,321642,(producer)
1856325,324523,(producer)
1856595,253105,(co-producer)
1856595,290087,(producer)
1856608,41007,"(executive producer)"
1856608,144118,"(executive producer)"
1856608,247314,(producer)
1856608,345115,"(associate producer) (as Allan Nicholls)"
1856608,401124,(producer)
1856608,431140,"(associate producer)"
1856608,441644,(producer)
1856608,511559,"(associate producer) (as Bob White)"
1856613,160582,"(executive producer)"
1856613,217657,(producer)
1856613,294718,(co-producer)
1856613,478755,"(executive producer)"
1856672,310437,(producer)
1856672,314227,"(associate producer) (as Richard F. McWhorter)"
1856672,374356,(producer)
1856727,189448,(producer)
1856727,202298,"(associate producer)"
1856727,235075,(producer)
1856727,475634,(producer)
1856731,37057,(co-producer)
1856731,216099,(producer)
1856731,216110,"(producer) (uncredited)"
1856731,216114,"(producer) (uncredited)"
1856731,379776,"(executive producer)"
1856763,31727,"(executive producer)"
1856763,46695,"(associate producer)"
1856763,52646,(producer)
1856763,100173,(producer)
1856763,402414,"(executive producer) (uncredited)"
1856763,409457,"(executive producer) (uncredited)"
1856763,467689,"(executive producer)"
1856939,108370,"(associate producer)"
1856939,125125,(producer)
1856939,143529,(producer)
1857326,99126,"(co-producer) (as Robert L. Crawford)"
1857326,243118,"(executive producer)"
1857326,436994,(producer)
1857496,115064,(producer)
1857496,280091,"(executive producer)"
1857496,291300,"(executive producer)"
1857496,366453,"(producer) (as Bill Paul)"
1857769,221925,"(executive producer)"
1857769,367326,(co-producer)
1857769,375508,"(associate producer)"
1857769,427932,(co-producer)
1857769,459476,"(associate producer)"
1857769,478159,(producer)
1857796,210422,"(executive producer)"
1857796,296538,(producer)
1857796,331474,(producer)
1858038,53234,(co-producer)
1858038,455691,(producer)
1858038,529397,(producer)
1858357,111250,"(producer) (uncredited)"
1858357,264689,(producer)
1858357,401314,(producer)
1858357,517458,(co-producer)
1858361,172391,(producer)
1858361,173492,(producer)
1858361,236064,"(associate producer) (as Michael Kagan)"
1858361,517458,(co-producer)
1858362,172391,"(executive producer)"
1858362,173492,"(executive producer)"
1858362,253795,(producer)
1858363,172391,(producer)
1858363,173492,(producer)
1858363,264689,"(executive producer)"
1858363,401314,"(executive producer)"
1858364,18159,"(executive producer)"
1858364,173492,"(executive producer)"
1858364,175198,"(associate producer)"
1858364,270902,(producer)
1858396,27423,"(executive producer)"
1858396,123826,(co-producer)
1858396,172758,(co-producer)
1858396,194761,"(executive producer)"
1858396,257088,(producer)
1858396,274505,(co-producer)
1858396,333755,(producer)
1858396,342077,"(associate producer)"
1858396,477771,(co-producer)
1858463,213801,"(associate producer)"
1858463,317333,"(executive producer)"
1858463,511678,(producer)
1859092,105653,"(executive producer)"
1859092,172000,(producer)
1859092,422467,"(line producer)"
1859092,517568,(co-producer)
1859351,17527,"(co-executive producer)"
1859351,33023,"(executive producer)"
1859351,55838,(co-producer)
1859351,124704,(producer)
1859351,229603,"(co-executive producer)"
1859351,405823,"(co-executive producer)"
1859542,39000,"(executive producer)"
1859542,174361,(producer)
1859542,202298,"(executive producer)"
1859542,255617,(producer)
1859542,286926,(producer)
1859542,288807,"(associate producer)"
1859542,290077,(producer)
1859542,290978,"(associate producer) (as Tom Mack)"
1859542,398038,(producer)
1859542,428004,"(executive producer)"
1859542,453160,(co-producer)
1859617,53234,"(executive producer)"
1859617,58443,(producer)
1859617,130765,"(associate producer)"
1859617,363900,"(executive producer) (as Walter Parkes)"
1859617,453090,"(executive producer)"
1859617,528489,(producer)
1859753,25007,(producer)
1859753,39362,"(executive producer)"
1859753,134774,"(associate producer)"
1859753,221925,"(post-production producer)"
1859753,299081,(producer)
1860181,179579,(co-producer)
1860181,183544,(producer)
1860181,340109,"(executive producer) (as Herbert S. Nanas)"
1860327,254189,(producer)
1860327,321529,(producer)
1860806,357759,(producer)
1861004,49260,(producer)
1861004,356625,"(associate producer) (uncredited)"
1861112,4929,(co-producer)
1861112,4929,"(executive producer)"
1861112,41892,(producer)
1861112,96287,(producer)
1861112,118369,(co-producer)
1861112,118369,"(executive producer)"
1861112,391621,"(executive producer)"
1861112,406491,"(producer) (as Giovanni Romoli)"
1861112,449080,(producer)
1861202,80374,"(associate producer)"
1861202,165807,"(associate producer)"
1861202,254042,(producer)
1861202,325092,"(executive producer)"
1861202,333102,"(co-producer) (as Tony Moskalyk)"
1861202,347699,"(executive producer)"
1861202,407761,"(executive producer)"
1861514,54329,"(executive producer)"
1861514,75871,"(executive producer)"
1861514,143092,(co-producer)
1861514,167120,(co-producer)
1861514,203416,(co-producer)
1861514,241771,"(producer) (as Howard Kazanjian)"
1861514,276404,(producer)
1861514,335378,"(associate producer)"
1861514,427743,"(executive producer)"
1861514,427752,"(executive producer)"
1861514,435943,"(executive producer)"
1861514,440919,(producer)
1862412,98533,(co-producer)
1862412,98533,"(line producer)"
1862412,108833,"(executive producer)"
1862412,195910,(producer)
1862412,343146,"(executive producer)"
1864055,107382,(producer)
1864055,107385,"(associate producer)"
1864055,498602,"(associate producer)"
1864055,509151,(producer)
1864055,517118,"(executive producer)"
1864846,99820,(co-producer)
1864846,131044,"(executive producer)"
1864846,132948,(producer)
1864846,219009,"(associate producer) (as Pierre Hebey)"
1864846,325519,(co-producer)
1864846,423626,(producer)
1864846,428582,"(executive producer)"
1864846,507270,"(associate producer)"
1866000,20728,"(associate producer)"
1866000,39841,"(executive producer)"
1866000,97832,"(associate producer)"
1866000,184155,"(executive producer)"
1866000,202671,(producer)
1866000,414223,"(executive producer)"
1866000,441905,"(associate producer)"
1866000,475225,"(executive producer)"
1866000,517118,(producer)
1866391,132948,(producer)
1866391,261589,"(executive producer) (as Harry Kügler)"
1866391,333436,"(executive producer)"
1866391,431827,"(executive producer)"
1866391,498475,"(executive producer)"
1866400,378759,(producer)
1868310,148419,"(executive producer)"
1868310,198745,(producer)
1868310,395017,"(associate producer)"
1868310,421843,"(associate producer: The Sundance Institute)"
1868312,58518,"(line producer)"
1868312,63725,(producer)
1868312,64695,"(executive producer)"
1868312,99427,"(executive producer)"
1868312,189779,"(executive producer)"
1868312,210422,(co-producer)
1868312,274350,(producer)
1868312,380432,(co-producer)
1868312,452900,(producer)
1868452,331969,"(executive producer)"
1868452,457695,(producer)
1868890,20855,"(co-producer) (as Elizabeth Avellán)"
1868890,49530,(producer)
1868890,161007,(co-producer)
1868890,404174,(producer)
1869010,81774,"(executive producer) (as Jeffery Chernov)"
1869010,153092,(producer)
1869010,209618,(producer)
1869010,397442,(producer)
1869010,407704,(co-producer)
1869010,426933,(producer)
1869092,372792,"(executive producer)"
1869092,375300,(producer)
1869092,419522,(producer)
1869304,360392,(producer)
1869461,72884,(co-producer)
1869461,364457,"(line producer)"
1869461,389420,(co-producer)
1869461,418182,"(executive producer)"
1869461,460267,(co-producer)
1869461,530560,(producer)
1869771,133432,(producer)
1870038,30752,"(line producer) (as Paula Hammerel)"
1870038,157978,(producer)
1870038,270198,"(executive producer)"
1870038,282879,"(executive producer)"
1870038,453126,(producer)
1870132,178027,"(executive producer)"
1870132,183096,"(executive producer)"
1870132,299367,(producer)
1870132,440402,"(executive producer)"
1870132,461961,"(associate producer)"
1870151,111447,"(executive producer) (as Michael Deluca)"
1870151,188783,(producer)
1870151,275857,(producer)
1870151,423570,"(co-producer) (as Art Schaeffer)"
1870151,441557,(producer)
1870151,463841,"(associate producer)"
1870151,518373,"(executive producer)"
1870221,15822,"(associate producer)"
1870221,39362,(producer)
1870221,119414,"(content producer)"
1870221,162063,"(producer) (as Sid Ganis)"
1870221,168820,"(executive producer)"
1870221,173728,(co-producer)
1870221,419229,"(executive producer)"
1870221,443736,(co-producer)
1870751,106542,(producer)
1870751,106543,(producer)
1870798,32914,(producer)
1870798,115622,"(executive producer)"
1870798,169489,"(associate producer)"
1870798,173265,(producer)
1870798,220515,"(associate producer)"
1870798,333182,"(associate producer)"
1870798,422861,"(executive producer)"
1871727,27086,"(executive producer)"
1871727,42832,"(executive producer)"
1871727,104778,(co-producer)
1871727,353080,"(executive producer)"
1871727,402414,(producer)
1871727,478698,"(executive producer)"
1871727,508717,"(associate producer)"
1871727,521190,(producer)
1871833,208272,"(producer) (uncredited)"
1872091,42185,"(co-executive producer)"
1872091,181155,"(executive producer)"
1872091,181393,(producer)
1872091,202146,"(line producer)"
1872091,450491,"(co-executive producer)"
1872587,88626,"(executive producer)"
1872587,217657,(producer)
1872662,33003,(producer)
1872662,264585,(co-producer)
1872662,280183,"(executive producer)"
1872662,337550,"(executive producer)"
1872662,357439,"(executive producer)"
1872662,491495,"(associate producer)"
1873263,107382,"(producer) (uncredited)"
1873263,235127,"(executive producer)"
1873263,381984,"(producer: HR)"
1873263,425317,"(producer) (uncredited)"
1873263,430927,(producer)
1874279,177032,"(executive producer)"
1874279,177195,(producer)
1874279,299369,"(associate producer) (as Beau E.L. Marks)"
1874279,440919,(producer)
1874284,177032,(producer)
1874284,177195,(producer)
1874284,203416,"(line producer)"
1874284,275759,"(executive producer)"
1874284,276404,"(executive producer)"
1874284,371046,(co-producer)
1874284,440919,(producer)
1874284,478669,"(associate producer)"
1874295,143730,"(executive producer)"
1874295,268834,"(executive producer)"
1874295,273563,"(associate producer)"
1874295,314152,(producer)
1874295,467872,(producer)
1874295,488831,"(executive producer)"
1874295,515721,(co-producer)
1874295,531323,(co-producer)
1875013,88001,"(producer: Nomad Films)"
1875013,110440,"(producer: Nomad Films)"
1875013,226525,"(producer: Channel 4, London) (as Waldemar Januszczak)"
1875013,253188,"(producer: ZDF) (as Hans-Peter Kochenrath)"
1875013,361770,"(producer: Omega Films)"
1875764,41940,(producer)
1875764,443441,(producer)
1875764,517381,(producer)
1875962,257483,(producer)
1875962,459604,(producer)
1876090,378759,(producer)
1878227,500829,(producer)
1878537,79690,(producer)
1878537,182499,"(executive producer)"
1878669,325020,"(executive producer)"
1878669,351539,(producer)
1878669,430994,(producer)
1878669,437338,"(executive producer)"
1878669,468449,"(executive producer)"
1878669,469162,"(executive producer: Shueisha)"
1878669,479234,"(executive producer)"
1878669,480133,"(executive producer)"
1878669,523635,"(executive producer)"
1879298,230896,"(executive producer)"
1879298,507833,(producer)
1879358,110749,(producer)
1879358,125698,"(executive producer)"
1879358,125698,(producer)
1879358,357845,(producer)
1879358,407958,(producer)
1879599,46112,(co-producer)
1879599,64157,"(line producer: plate unit)"
1879599,119414,"(content producer)"
1879599,300292,(producer)
1879793,484221,"(producer) (as Tsui Hark)"
1880202,22496,"(associate producer)"
1880202,38664,(co-producer)
1880202,69765,"(executive producer)"
1880202,178042,(producer)
1880202,395803,"(executive producer)"
1880648,125726,"(associate producer)"
1880648,182808,"(executive producer)"
1880648,395421,"(executive producer)"
1880648,441963,(producer)
1880648,447765,"(associate producer)"
1880648,457467,(co-producer)
1880648,502683,(co-producer)
1880846,85375,"(associate producer)"
1880846,99691,(producer)
1880846,149419,"(associate producer)"
1880846,171518,"(executive producer)"
1880846,276059,(producer)
1880846,500749,(co-producer)
1881802,39643,(producer)
1881802,137169,"(executive producer)"
1881802,174052,"(executive producer)"
1881802,350632,"(associate producer)"
1881802,408008,(co-producer)
1881802,431135,(co-producer)
1881802,437174,"(producer) (as Jon Shestack)"
1881802,519708,"(associate producer)"
1881868,357759,"(executive producer)"
1881868,440411,"(producer: Greenwich Film Production)"
1881868,440425,"(producer: Les Films Galaxie)"
1883153,247314,"(line producer)"
1883153,271959,(producer)
1883153,408868,(co-producer)
1883527,1120,"(associate producer)"
1883527,224222,(producer)
1883528,22736,"(executive producer)"
1883528,108833,(producer)
1883528,157294,(producer)
1883528,262548,"(associate producer)"
1883528,442798,"(producer) (as Joseph M. Singer)"
1883528,480005,"(executive producer)"
1883660,183002,"(executive producer)"
1883660,379010,(producer)
1883995,54969,(producer)
1883995,133938,(producer)
1883995,182077,"(associate producer)"
1884087,76387,(producer)
1884087,274064,"(line producer)"
1884087,415088,"(executive producer)"
1884286,177172,"(executive producer)"
1884286,182111,(co-producer)
1884286,333088,(producer)
1885039,46482,"(associate producer)"
1885039,189092,(producer)
1885039,243560,"(associate producer)"
1885039,335296,(producer)
1885177,364925,"(executive producer)"
1885177,417610,(co-producer)
1885734,95121,(producer)
1885734,111447,"(executive producer)"
1885734,158158,(producer)
1885734,344413,"(co-executive producer) (as Robert Newmyer)"
1885734,361082,"(producer) (as Patrick Palmer)"
1885734,394249,"(co-executive producer)"
1885734,440913,"(co-executive producer)"
1885734,497453,"(executive producer)"
1886005,62715,"(executive producer)"
1886005,166760,"(executive producer)"
1886005,173564,(producer)
1886005,332386,(co-producer)
1886005,400525,"(associate producer)"
1886005,505968,(producer)
1886005,505970,"(co-executive producer)"
1886005,505971,"(co-executive producer)"
1886830,234974,(producer)
1886830,338287,(producer)
1886830,483855,"(executive producer)"
1886830,529836,(producer)
1887066,119979,(producer)
1887066,182138,"(executive producer)"
1887066,230896,(producer)
1887066,276059,(producer)
1887066,309239,"(executive producer)"
1887066,337551,(producer)
1888102,16725,"(associate producer)"
1888102,25889,"(executive producer)"
1888102,302807,"(associate producer)"
1888102,404438,"(line producer)"
1888102,448579,(producer)
1888780,201038,(producer)
1888780,263616,"(producer) (as Rose Lam Waddell)"
1888811,117344,"(executive producer) (uncredited)"
1888811,443799,"(producer) (uncredited)"
1888823,173772,(producer)
1888823,409728,(co-producer)
1889009,118696,(producer)
1889009,225270,"(executive producer)"
1889009,336626,"(associate producer)"
1889009,341156,(co-producer)
1889009,342938,"(associate producer) (uncredited)"
1889009,403527,"(executive producer)"
1889009,437273,(co-producer)
1889253,68761,(producer)
1889253,183783,(producer)
1889253,229347,(producer)
1889253,252034,"(associate producer)"
1889253,453209,(producer)
1889491,102048,"(executive producer)"
1889491,268834,(producer)
1889491,516822,(co-producer)
1889579,57228,"(executive producer)"
1889579,184046,"(executive producer)"
1889579,251300,(producer)
1889579,409690,(co-producer)
1889579,428113,"(executive producer)"
1889579,455611,(co-producer)
1889621,69844,(producer)
1889621,84557,"(producer) (as Bob Christiansen)"
1889621,142120,(co-producer)
1889621,172784,(co-producer)
1889621,310707,(producer)
1889621,407997,(producer)
1889621,448695,(producer)
1889621,520291,(co-producer)
1889788,89501,"(executive producer)"
1889788,203343,"(associate producer)"
1889788,209775,(co-producer)
1889788,251725,(producer)
1889788,257072,"(executive producer)"
1889788,495496,(producer)
1889788,507698,"(executive producer)"
1889788,507723,"(executive producer)"
1889850,24972,(producer)
1889850,520847,(producer)
1890357,56827,"(producer) (as Albert R.Broccoli)"
1890357,417610,(producer)
1890357,450895,"(associate producer) (uncredited)"
1890437,259105,(producer)
1890437,288703,"(associate producer)"
1890437,323478,"(executive producer) (uncredited)"
1890515,18693,"(associate producer)"
1890515,59666,(producer)
1890515,262554,(producer)
1890516,72879,"(executive producer)"
1890516,207483,(producer)
1890516,245869,"(associate producer) (as Anthony Nelson-Keys)"
1890522,15139,"(executive producer)"
1890522,95121,(producer)
1890522,147375,"(associate producer) (as Susie Landau)"
1890522,158158,(producer)
1890522,196813,(co-producer)
1890522,335296,(producer)
1890522,350801,"(executive producer)"
1890522,493647,(co-producer)
1890588,57691,(producer)
1890588,59230,"(associate producer)"
1890588,424971,"(executive producer)"
1890588,528599,"(associate producer)"
1890829,55003,"(associate producer)"
1890829,111259,(producer)
1890829,160302,"(associate producer) (as Herbert W. Gains)"
1890829,194791,(co-producer)
1890829,231061,"(executive producer)"
1890829,409769,"(executive producer)"
1891484,172512,"(executive producer)"
1891484,196450,(producer)
1891484,448367,(producer)
1891484,480891,(producer)
1891605,189065,"(executive producer)"
1891605,213831,"(co-producer) (as Phyllis K. Housen)"
1891605,250117,"(associate producer)"
1891605,281891,"(executive producer)"
1891605,405626,"(executive producer) (as Rita J. Rokisky)"
1891605,405626,"(producer) (as Rita J. Rokisky)"
1891649,17630,(co-producer)
1891649,58738,(co-producer)
1891649,214882,"(executive producer)"
1891649,320103,"(associate producer)"
1891649,321935,(co-producer)
1891649,439624,"(executive producer)"
1891649,456889,(producer)
1891649,517668,"(coordinating producer)"
1891649,521316,(producer)
1891803,195764,"(associate producer)"
1891803,259428,"(line producer)"
1891803,320808,(producer)
1891803,475366,"(executive producer)"
1892010,102817,(producer)
1892010,102938,"(executive producer)"
1892010,412888,"(associate producer)"
1892010,478891,(co-producer)
1892010,531692,"(executive producer)"
1892794,361211,"(co-producer) (as Nancy Paloian-Breznikar)"
1892794,402228,(producer)
1892991,58443,"(executive producer)"
1892991,124411,"(associate producer)"
1892991,131044,"(co-executive producer)"
1892991,487068,"(associate producer)"
1892991,528488,(producer)
1892991,528489,(producer)
1893207,41007,"(executive producer)"
1893207,108508,"(executive producer)"
1893207,147567,"(executive producer)"
1893207,506800,(producer)
1893210,209406,(producer)
1893210,265635,"(executive producer)"
1893210,342910,(co-producer)
1893210,378564,(producer)
1893210,378608,"(executive producer)"
1893210,514881,"(executive producer)"
1893245,22786,"(executive producer)"
1893245,73954,(producer)
1893245,87554,(co-producer)
